school,item_id,item_name,subject,grade,identifier,max_codes,cell_type,cube_possible,true_possible,possible_inflation,cube_pct,true_pct,pct_kpi_error,code_families
Athenian Academy of Technology and the Arts,8122682301,Chapter 4 Test,Algebra,Grade 8,3cd12b67-8bad-44d5-bb62-d37ecb91f432,2,uniform,54.0000,27.0000,2.000,81.48,81.48,0.00,AI.MA.912.AR.2.5 + MA.912.AR.2.5
Athenian Academy of Technology and the Arts,8359960427,Chapter 9 Test,Algebra,Grade 8,3cc92b67-8bad-44d5-bb62-d37ecb91f432,2,uniform,54.0000,27.0000,2.000,77.78,77.78,0.00,AI.MA.912.AR.1.7 + MA.912.AR.1.7
Athenian Academy of Technology and the Arts,8327325520,Spiral Review Test #1,Math,Grade 7,155b2b67-8bad-44d4-bb62-d37ecb91f432,2,uniform,48.0000,24.0000,2.000,58.33,58.33,0.00,MA.7.MAFS.7.NS.1.1.c + MA.7.MAFS.7.NS.1.1.d
Athenian Academy of Technology and the Arts,7503402943,Chapter 2 Test,Algebra,Grade 8,3ccd2b67-8bad-44d5-bb62-d37ecb91f432,2,uniform,38.0000,19.0000,2.000,94.74,94.74,0.00,AI.MA.912.AR.2.1 + MA.912.AR.2.1
Athenian Academy of Technology and the Arts,7476279934,Chapter 1 Test,Algebra,Grade 8,3cd22b67-8bad-44d5-bb62-d37ecb91f432,2,uniform,38.0000,19.0000,2.000,47.37,47.37,0.00,AI.MA.912.AR.2.6 + MA.912.AR.2.6
Athenian Academy of Technology and the Arts,7570315981,Chapter 3 Test,Algebra,Grade 8,3d052b67-8bad-44d5-bb62-d37ecb91f432,2,uniform,38.0000,19.0000,2.000,94.74,94.74,0.00,AI.MA.912.F.1.1 + MA.912.F.1.1
Athenian Academy of Technology and the Arts,7606124717,Chapter 4 Test,Algebra,Grade 8,3d882b67-8bad-44d5-bb62-d37ecb91f432,2,uniform,38.0000,19.0000,2.000,57.89,57.89,0.00,AI.MA.912.DP.2.4 + MA.912.DP.2.4
Athenian Academy of Technology and the Arts,7503402943,Chapter 2 Test,Algebra,Grade 8,3cc32b67-8bad-44d5-bb62-d37ecb91f432,2,uniform,38.0000,19.0000,2.000,84.21,84.21,0.00,AI.MA.912.AR.1.1 + MA.912.AR.1.1
Athenian Academy of Technology and the Arts,7708642601,Chapter 6 Test,Algebra,Grade 8,3caa2b67-8bad-44d5-bb62-d37ecb91f432,2,uniform,36.0000,18.0000,2.000,72.22,72.22,0.00,AI.MA.912.NSO.1.2 + MA.912.NSO.1.2
Athenian Academy of Technology and the Arts,7802303138,Chapter 8 Test,Algebra,Grade 8,3d0d2b67-8bad-44d5-bb62-d37ecb91f432,2,uniform,32.0000,16.0000,2.000,62.50,62.50,0.00,AI.MA.912.F.2.1 + MA.912.F.2.1
Central Florida Preparatory School,8247281686,Topic 5: World War I and the 1920s,HS United States History,Higher-Ed,d531b207-8bad-43d4-bb62-d37ecb91f432,2,mixed,65.0000,34.0000,1.912,72.31,79.41,-7.10,SOC.9-12.SS.912.A.5.1 + SOC.9-12.SS.912.A.5.10
Central Florida Preparatory School,8361289662,Topic 4: Change Over Time,Science,Grade 7,70d1b207-8bad-43d4-bb62-d37ecb91f432,3,mixed,462.0000,221.0000,2.090,85.93,90.05,-4.12,SCI.7.SC.7.L.15.1 + SCI.7.SC.7.L.15.B ; SCI.7.SC.7.L.15.1 + SCI.7.SC.7.L.15.B + SCI.7.SC.7.L.15.C
Central Florida Preparatory School,8361289662,Topic 4: Change Over Time,Science,Grade 7,6f41b207-8bad-43d4-bb62-d37ecb91f432,2,mixed,295.0000,208.0000,1.418,85.42,89.42,-4.00,SC.6.L.15.B + SC.6.L.15.C
Central Florida Preparatory School,8361289039,Topic 4: Change Over Time,Science,Grade 7,70d1b207-8bad-43d4-bb62-d37ecb91f432,3,mixed,609.0000,289.0000,2.107,87.68,89.97,-2.29,SCI.7.SC.7.L.15.1 + SCI.7.SC.7.L.15.B ; SCI.7.SC.7.L.15.1 + SCI.7.SC.7.L.15.B + SCI.7.SC.7.L.15.C
Central Florida Preparatory School,8361289039,Topic 4: Change Over Time,Science,Grade 7,6f41b207-8bad-43d4-bb62-d37ecb91f432,2,mixed,389.0000,272.0000,1.430,88.17,90.44,-2.27,SC.6.L.15.B + SC.6.L.15.C
Central Florida Preparatory School,8338223108,Introduction to Matter,Science,Grade 8,73a1b207-8bad-43d4-bb62-d37ecb91f432,2,mixed,52.0000,39.0000,1.333,94.23,92.31,1.92,SCI.8.SC.8.P.9.A + SCI.8.SC.8.P.9.B
Central Florida Preparatory School,8361289039,Topic 4: Change Over Time,Science,Grade 7,7101b207-8bad-43d4-bb62-d37ecb91f432,3,mixed,306.0000,187.0000,1.636,86.93,88.77,-1.84,SCI.7.SC.7.L.16.1 + SCI.7.SC.7.L.16.A ; SCI.7.SC.7.L.16.1 + SCI.7.SC.7.L.16.B ; SCI.7.SC.7.L.16.1 + SCI.7.SC.7.L.16.B + SCI.7.SC.7.L.16.C
Central Florida Preparatory School,8338223726,Introduction to Matter,Science,Grade 8,73a1b207-8bad-43d4-bb62-d37ecb91f432,2,mixed,68.0000,51.0000,1.333,97.06,96.08,0.98,SCI.8.SC.8.P.9.A + SCI.8.SC.8.P.9.B
Central Florida Preparatory School,8254068371,Waves and Electromagnetic Radiation,Science,Grade 8,6e71b207-8bad-43d4-bb62-d37ecb91f432,2,mixed,104.0000,78.0000,1.333,95.19,96.15,-0.96,SC.6.P.11.B + SC.6.P.11.C
Central Florida Preparatory School,8273818985,Topic 6: New Global Connections (1415?1796),HS World History,Higher-Ed,d851b207-8bad-43d4-bb62-d37ecb91f432,2,mixed,143.0000,130.0000,1.100,91.96,91.15,0.81,SOC.9-12.SS.912.W.4.13 + SOC.9-12.SS.912.W.4.15
Central Florida Preparatory School,8254068371,Waves and Electromagnetic Radiation,Science,Grade 8,70a1b207-8bad-43d4-bb62-d37ecb91f432,2,mixed,130.0000,104.0000,1.250,95.38,96.15,-0.77,SCI.7.SC.7.P.11.B + SCI.7.SC.7.P.11.C
Central Florida Preparatory School,8258440058,Waves and Electromagnetic Radiation,Science,Grade 8,6e71b207-8bad-43d4-bb62-d37ecb91f432,2,mixed,144.0000,108.0000,1.333,96.53,96.30,0.23,SC.6.P.11.B + SC.6.P.11.C
Central Florida Preparatory School,8361289662,Topic 4: Change Over Time,Science,Grade 7,7101b207-8bad-43d4-bb62-d37ecb91f432,3,mixed,234.0000,143.0000,1.636,94.44,94.41,0.03,SCI.7.SC.7.L.16.1 + SCI.7.SC.7.L.16.A ; SCI.7.SC.7.L.16.1 + SCI.7.SC.7.L.16.B ; SCI.7.SC.7.L.16.1 + SCI.7.SC.7.L.16.B + SCI.7.SC.7.L.16.C
Central Florida Preparatory School,8258440058,Waves and Electromagnetic Radiation,Science,Grade 8,70a1b207-8bad-43d4-bb62-d37ecb91f432,2,mixed,180.0000,144.0000,1.250,97.22,97.22,0.00,SCI.7.SC.7.P.11.B + SCI.7.SC.7.P.11.C
Central Florida Preparatory School,8258440058,Waves and Electromagnetic Radiation,Science,Grade 8,71a1b207-8bad-43d4-bb62-d37ecb91f432,2,uniform,36.0000,18.0000,2.000,81.48,81.48,0.00,SC.8.N.2.C + SCI.8.SC.8.N.2.A
Central Florida Preparatory School,8254068371,Waves and Electromagnetic Radiation,Science,Grade 8,71a1b207-8bad-43d4-bb62-d37ecb91f432,2,uniform,26.0000,13.0000,2.000,74.36,74.36,0.00,SC.8.N.2.C + SCI.8.SC.8.N.2.A
